No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
471,o'que é exame vhs,720,7,2,12,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
472,o'que é o exame vhs,390,9,2,13,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
473,calculo rescisão apos licença maternidade,390,8,2,17,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
474,tipos de lesões por esforço repetitivo,210,15,2,15,http://sso.com.br/2024/09/11/lesao-por-esforco-repetitivo/
475,clínica de exame ocupacional,210,7,2,26,http://sso.com.br/
476,exame admissional em jundiai,170,10,2,10,http://sso.com.br/
477,estabilidade apos licença maternidade clt,210,6,2,14,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
478,ecg como é feito,2400,18,2,34,http://sso.com.br/2025/01/24/como-e-feito-o-eletrocardiograma/
479,saturação de oxigênio,1900,10,2,20,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
480,o que é rigger,1000,11,2,15,http://sso.com.br/2023/04/26/plano-de-rigger/
481,saturação de oxigenio,1900,16,2,25,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
482,o'que é saturação de oxigenio,390,16,2,22,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
483,tipos de ruidos,320,9,2,13,http://sso.com.br/2022/11/03/tipos-de-ruido-ambiental/
484,saturação em 90,140,6,2,14,http://sso.com.br/artigos/saturacao-de-oxigenio
485,exame saúde ocupacional,390,15,2,14,http://sso.com.br/
486,medicina do trabalho perto de mim,390,9,2,26,http://sso.com.br/
487,nr 05 atualizada,1600,14,2,26,http://sso.com.br/2023/01/12/nova-nr-5/
488,o que é o exame vhs,390,8,2,13,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
489,o que quer dizer intermitente,320,11,2,39,http://sso.com.br/2023/02/08/trabalho-intermitente/
490,medicina e segurança no trabalho,2900,22,2,35,http://sso.com.br/2023/12/06/normas-medicina-do-trabalho/
491,aso admissional online,170,10,2,15,http://sso.com.br/
492,normas regulamentadoras medicina do trabalho,140,6,2,26,http://sso.com.br/2023/12/06/normas-medicina-do-trabalho/
493,o que é risco quimico,320,20,2,15,http://sso.com.br/2022/02/11/riscos-quimicos/
494,o que é um exame psicotécnico,210,15,2,17,http://sso.com.br/2022/02/18/como-e-feito-o-exame-psicotecnico/
495,exame médico admissional perto de mim,210,3,2,19,http://sso.com.br/
496,prova de romberg,390,8,2,18,http://sso.com.br/2025/02/19/o-que-e-teste-de-romberg/
497,aso o que é,14800,31,2,32,http://sso.com.br/2023/07/25/aso/
498,atestado de aptidão,390,9,2,12,http://sso.com.br/2024/04/19/como-conseguir-um-atestado-de-aptidao-fisica/
499,36 6 é febre,1300,14,2,13,http://sso.com.br/2025/03/31/quando-e-estado-febril/
500,o que é pcd trabalho,260,14,2,20,http://sso.com.br/2022/02/08/pcd-quem-se-enquadra/
501,quando deve ser feito o exame demissional,210,6,2,12,http://sso.com.br/2024/07/17/posso-fazer-exame-demissional-durante-aviso-previo/
502,o que precisa para fazer exame admissional,140,9,2,13,http://sso.com.br/ufaq/quais-documentos-necessarios-para-fazer-o-exame-admissional/
503,ausências,40500,34,2,21,http://sso.com.br/artigos/o-que-e-absenteismo-no-trabalho
504,analise de risco para trabalho em altura,170,14,2,15,http://sso.com.br/2025/06/06/analise-de-risco-em-trabalho-em-altura/
505,trabalhar de atestado,260,9,2,12,http://sso.com.br/2023/06/22/trabalhar-de-atestado/
506,programa de proteção respiratória ppr,480,18,2,15,http://sso.com.br/programa-de-protecao-respiratorioppr/
507,saturação oxigênio,390,16,2,20,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
508,o que é art engenharia,390,17,2,34,http://sso.com.br/2025/08/05/o-que-e-art-crea/
509,exame admissional centro,390,8,2,14,http://sso.com.br/
510,se eu nao fizer o exame demissional,170,5,2,15,http://sso.com.br/artigos/pedido-de-demissao-precisa-fazer-exame-demissional
511,saturação baixa o que é,320,17,2,14,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
512,exame aso onde fazer,390,8,2,6,http://sso.com.br/
513,movimento repetitivo na mao,320,9,2,12,http://sso.com.br/2024/09/19/doencas-causadas-por-movimentos-repetitivos-no-trabalho/
514,serviços de saúde ocupacional,1000,11,2,17,http://sso.com.br/
515,exame de sangue vhs para que serve,390,9,2,13,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
516,estabilidade apos maternidade,170,4,2,20,http://sso.com.br/artigos/voltei-da-licenca-maternidade-posso-ser-demitida
517,atestado perde férias,170,6,2,19,http://sso.com.br/artigos/atestado-medico-pode-descontar-ferias
518,fiz o exame demissional e agora,170,10,2,15,http://sso.com.br/2023/05/18/exame-demissional-justa-causa/
519,o que é exame de vhs,480,11,2,15,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
520,saude ocupacional o que é,390,15,2,34,http://sso.com.br/2024/03/01/saude-ocupacional/
521,clinica aso,880,17,2,5,http://sso.com.br/
522,saturação normal adulto,1300,9,2,17,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
523,niosh 1501,140,6,2,22,http://sso.com.br/analisequimica/
524,remanejamento de função por motivo de doença,170,14,2,15,http://sso.com.br/2022/08/05/mudanca-de-funcao/
525,normas regulamentadoras cipa,1300,19,2,34,http://sso.com.br/2023/01/12/nova-nr-5/
526,o que é exame demissional,1900,23,2,13,http://sso.com.br/2024/07/31/pedido-de-demissao-precisa-fazer-exame-demissional/
527,exame periodico trabalho,720,17,2,17,http://sso.com.br/2025/01/17/quais-sao-os-exames-periodicos/
528,como saber se a saturação está baixa,720,8,2,15,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
529,movimento repetitivo com as mãos,260,11,2,11,http://sso.com.br/2024/09/19/doencas-causadas-por-movimentos-repetitivos-no-trabalho/
530,suporte saúde ocupacional e segurança do trabalho,720,16,2,19,http://sso.com.br/
531,acidente de trabalho danos morais,210,16,2,18,http://sso.com.br/2023/02/02/indenizacao-acidente-de-trabalho/
532,normalidade da saturação,720,17,2,15,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
533,multa ministerio do trabalho,170,10,2,20,http://sso.com.br/2024/05/21/multa-ministerio-do-trabalho/
534,mudança de função por recomendação médica,320,17,2,13,http://sso.com.br/2022/08/05/mudanca-de-funcao/
535,saturação 95,1000,20,2,16,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
536,pode descontar atestado nas ferias,260,7,2,26,http://sso.com.br/2023/07/06/atestado-medico-pode-descontar-ferias/
537,o que significa vaga pcd,320,20,2,29,http://sso.com.br/2022/02/08/pcd-quem-se-enquadra/
538,validade aso admissional,590,5,2,13,http://sso.com.br/2025/01/10/exame-admissional-vale-como-demissional/
539,o'que é teste de romberg,320,9,2,18,http://sso.com.br/2025/02/19/o-que-e-teste-de-romberg/
540,sano medicina do trabalho,480,16,2,15,http://sso.com.br/
541,41 de febre,320,9,2,14,http://sso.com.br/2025/03/31/quando-e-estado-febril/
542,treinamento de ergonomia,170,10,2,11,http://sso.com.br/2023/06/07/treinamento-ergonomia/
543,importancia do equipamento de proteção individual,210,20,2,13,http://sso.com.br/2022/11/26/importancia-do-uso-de-epi/
544,prazo para fazer exame demissional,170,8,2,18,http://sso.com.br/2024/07/17/posso-fazer-exame-demissional-durante-aviso-previo/
545,teste ergometrico quanto tempo dura,1900,21,2,11,http://sso.com.br/2024/03/08/como-e-feito-teste-ergometrico/
546,exame medico admissional,2900,13,2,16,http://sso.com.br/
547,exame do trabalho,390,15,2,19,http://sso.com.br/
548,quantos dias de atestado perde direito de férias,320,14,2,18,http://sso.com.br/2023/07/06/atestado-medico-pode-descontar-ferias/
549,ansiedade reprova no exame admissional,320,11,2,8,http://sso.com.br/2022/05/13/o-que-reprova-no-exame-admissional/
550,o que é teste romberg,140,6,2,11,http://sso.com.br/2025/02/19/o-que-e-teste-de-romberg/
551,exame demissional quando deve ser feito,210,4,2,11,http://sso.com.br/2024/07/17/posso-fazer-exame-demissional-durante-aviso-previo/
552,anamnese ocupacional,480,12,2,17,http://sso.com.br/2024/08/22/anamnese-ocupacional/
553,ppra x pcmso,1300,9,2,12,http://sso.com.br/2024/11/29/ppra-e-pcmso/
554,eletrocardiograma como é feito,2400,17,2,34,http://sso.com.br/2025/01/24/como-e-feito-o-eletrocardiograma/
555,empresas de exames admissionais,260,6,2,16,http://sso.com.br/
556,o que reprova no exame toxicológico admissional,210,7,2,11,http://sso.com.br/2024/01/04/empresa-pode-exigir-exame-toxicologico/
557,exame admissional em santo andré,210,9,2,7,http://sso.com.br/
558,sintomas de ler na mão,170,4,2,15,http://sso.com.br/2025/06/09/sintomas-de-lesao-por-esforco-repetitivo/
559,o que são ruídos,140,15,1,12,http://sso.com.br/2022/11/03/tipos-de-ruido-ambiental/
560,utilização de epis,170,11,1,32,http://sso.com.br/2022/11/26/importancia-do-uso-de-epi/
561,medicina do trabalho o que é,720,26,1,30,http://sso.com.br/2021/12/01/o-que-e-medicina-do-trabalho/
562,o q é aptidão fisica,1600,30,1,26,http://sso.com.br/2024/04/19/como-conseguir-um-atestado-de-aptidao-fisica/
563,o que significa ergonômico,1300,24,1,34,http://sso.com.br/2022/06/13/laudo-ergonomico/
564,como funciona o psicotécnico,260,20,1,34,http://sso.com.br/2022/02/18/como-e-feito-o-exame-psicotecnico/
565,teste ergometrico quanto tempo demora,170,15,1,11,http://sso.com.br/artigos/como-e-feito-teste-ergometrico
566,saturação 66,140,13,1,16,http://sso.com.br/artigos/saturacao-de-oxigenio
567,o'que precisa para fazer exame admissional,140,9,1,13,http://sso.com.br/ufaq/quais-documentos-necessarios-para-fazer-o-exame-admissional/
568,onde pegar atestado médico,140,18,1,21,http://sso.com.br/artigos/como-conseguir-um-atestado-de-aptidao-fisica
569,nr de maquinas e equipamentos,140,13,1,20,http://sso.com.br/2024/02/02/nr-12-seguranca-trabalho-maquinas-equipamentos/
570,onde fazer exame aso,390,9,1,5,http://sso.com.br/
571,aptidao fisica,390,8,1,18,http://sso.com.br/2024/04/19/como-conseguir-um-atestado-de-aptidao-fisica/
572,valores de saturação normal,320,15,1,17,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
573,valor da indenização por morte no trabalho,140,18,1,17,http://sso.com.br/2023/02/02/indenizacao-acidente-de-trabalho/
574,exame demissional quem paga,1900,21,1,14,http://sso.com.br/2024/07/31/pedido-de-demissao-precisa-fazer-exame-demissional/
575,o que é vhs exame de sangue,1600,23,1,15,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
576,cipa nr 5,1600,23,1,38,http://sso.com.br/2023/01/12/nova-nr-5/
577,crea o'que significa,390,16,1,38,http://sso.com.br/2025/07/28/registro-no-crea/
578,retorno licença maternidade estabilidade,210,18,1,18,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
579,prevenção de acidentes de trabalho,1300,16,1,23,http://sso.com.br/2024/09/16/prevencao-acidente-de-trabalho/
580,o que terceirização,1300,10,1,22,http://sso.com.br/2022/06/17/terceirizacao-de-servicos/
581,nr 05 o'que é,210,14,1,27,http://sso.com.br/2025/02/17/nr-05/
582,exame do aso,210,12,1,18,http://sso.com.br/
583,entrei gravida na empresa posso ser mandada embora,210,14,1,12,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
584,norma regulamentadora 15 ministerio do trabalho,140,19,1,35,http://sso.com.br/2025/03/14/o-que-e-nr-15/
585,exames de vhs,880,17,1,13,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
586,consulta crea profissional,260,20,1,23,http://sso.com.br/2025/08/31/como-saber-se-o-profissional-tem-registro-no-crea/
587,tabela de exames admissionais por função,590,5,1,16,http://sso.com.br/2022/01/25/tabela-de-exames-complementares-por-funcao/
588,o que significa exame admissional,590,16,1,15,http://sso.com.br/2022/05/13/o-que-reprova-no-exame-admissional/
589,ficha de registro,590,18,1,22,http://sso.com.br/2022/05/03/ficha-de-registro-de-empregado/
590,exame periodico validade,390,17,1,11,http://sso.com.br/2025/09/04/validade-exames-ocupacionais/
591,como saber se meu exame toxicológico está vencido,170,12,1,26,http://sso.com.br/2022/09/13/exame-toxicologico-vencido/
592,sst o que é,1600,28,1,15,http://sso.com.br/2022/11/10/seguranca-e-saude-no-trabalho/
593,absenteismo no trabalho,720,20,1,24,http://sso.com.br/2025/09/17/o-que-e-absenteismo-no-trabalho/
594,atestado médico para academia,320,11,1,16,http://sso.com.br/2024/04/19/como-conseguir-um-atestado-de-aptidao-fisica/
595,ocupacional saude,210,11,1,25,http://sso.com.br/2024/03/01/saude-ocupacional/
596,atestado de saúde ocupacional online,210,11,1,8,http://sso.com.br/
597,tipos de ruido,170,20,1,20,http://sso.com.br/artigos/tipos-de-ruido-ambiental
598,programa de controle médico e saúde ocupacional nr 7,10,9,1,5,http://sso.com.br/nr/nr-7
599,medicina do trabalho em são paulo,170,17,1,19,http://sso.com.br/
600,o que significa exame vhs,480,10,1,13,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
601,saturação o2,170,19,1,25,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
602,pcmso quem faz,480,19,1,19,http://sso.com.br/2024/11/29/ppra-e-pcmso/
603,o que é o exame psicotécnico,320,21,1,35,http://sso.com.br/2022/02/18/como-e-feito-o-exame-psicotecnico/
604,qual temperatura é considerado febre em adulto,260,12,1,15,http://sso.com.br/2025/03/31/quando-e-estado-febril/
605,o'que significa demissional,260,15,1,15,http://sso.com.br/exames/demissional
606,exame médico periódico,260,16,1,19,http://sso.com.br/2025/01/17/quais-sao-os-exames-periodicos/
607,o que é teste psicotécnico,210,12,1,36,http://sso.com.br/2022/02/18/como-e-feito-o-exame-psicotecnico/
608,osteomusculares significado,170,17,1,34,http://sso.com.br/artigos/disturbios-osteomusculares-relacionados-ao-trabalho
609,osteomuscular o que significa,140,16,1,12,http://sso.com.br/artigos/disturbios-osteomusculares-relacionados-trabalho
610,o que acontece se não fazer o exame demissional,140,19,1,15,http://sso.com.br/artigos/pedido-de-demissao-precisa-fazer-exame-demissional
611,periculosidade,27100,39,1,18,http://sso.com.br/artigos/como-calcular-periculosidade
612,norma regulamentadora 7 programa de controle médico de saúde ocupacional,140,18,1,31,http://sso.com.br/2022/07/26/pcmso/
613,saturação baixa o que pode acontecer,390,14,1,15,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
614,saúde ocupacional o que e,390,10,1,31,http://sso.com.br/2024/03/01/saude-ocupacional/
615,ppra segurança do trabalho,390,16,1,29,http://sso.com.br/2024/11/29/ppra-e-pcmso/
616,atestado admissional validade,170,16,1,13,http://sso.com.br/2025/01/10/exame-admissional-vale-como-demissional/
617,velocidade hemossedimentação alto,170,18,1,12,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
618,o que e ruído,720,17,1,32,http://sso.com.br/2022/11/03/tipos-de-ruido-ambiental/
619,o que e saude ocupacional,1000,14,1,33,http://sso.com.br/2024/03/01/saude-ocupacional/
620,atestado médico de aptidão física,390,12,1,15,http://sso.com.br/2024/04/19/como-conseguir-um-atestado-de-aptidao-fisica/
621,atestado pode ser descontado,480,14,1,16,http://sso.com.br/2023/07/06/atestado-medico-pode-descontar-ferias/
622,metodo segurança e saude do trabalho,170,14,1,24,http://sso.com.br/2022/11/10/seguranca-e-saude-no-trabalho/
623,como elaborar mapa de risco,170,12,1,15,http://sso.com.br/2023/03/02/como-fazer-mapa-de-risco/
624,exame admissional campina grande,170,15,1,6,http://sso.com.br/
625,saturação 73,140,17,1,17,http://sso.com.br/artigos/saturacao-de-oxigenio
626,o que é teste de aptidão física,140,15,1,22,http://sso.com.br/artigos/como-conseguir-um-atestado-de-aptidao-fisica
627,importancia dos epis,260,16,1,14,http://sso.com.br/2022/11/26/importancia-do-uso-de-epi/
628,o que e art crea,140,10,1,31,http://sso.com.br/2025/08/05/o-que-e-art-crea/
629,como elaborar um mapa de riscos,170,15,1,15,http://sso.com.br/2023/03/02/como-fazer-mapa-de-risco/
630,atestado para atividades fisicas,1000,21,1,17,http://sso.com.br/2024/04/19/como-conseguir-um-atestado-de-aptidao-fisica/
631,exames saude ocupacional,390,18,1,14,http://sso.com.br/
632,nivel normal de saturação,210,12,1,18,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
633,treinamentos ergonomia,170,9,1,9,http://sso.com.br/2023/06/07/treinamento-ergonomia/
634,acidente de trabalho indenização,210,15,1,15,http://sso.com.br/2023/02/02/indenizacao-acidente-de-trabalho/
635,exame eletrocardiograma como é feito,590,18,1,33,http://sso.com.br/2025/01/24/como-e-feito-o-eletrocardiograma/
636,exame médico ocupacional,390,9,1,15,http://sso.com.br/
637,tipos de radiografias,320,12,1,15,http://sso.com.br/2024/12/18/tipos-de-raio-x/
638,quando se considera febre,320,20,1,19,http://sso.com.br/2025/03/31/quando-e-estado-febril/
639,temperatura de febre adulto,880,17,1,16,http://sso.com.br/2025/03/31/quando-e-estado-febril/
640,hemossedimentação vhs 30mm e grave mulher,480,12,1,13,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
641,turnover alto,170,11,1,14,http://sso.com.br/2026/01/08/turnover-alto/
642,higiene ocupacional o que é,590,18,1,29,http://sso.com.br/2022/12/29/higiene-ocupacional/
643,38 1 é febre,590,10,1,14,http://sso.com.br/2025/03/31/quando-e-estado-febril/
644,vhs valor de referencia,390,15,1,14,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
645,exame demissional quando fazer,880,7,1,15,http://sso.com.br/2024/07/31/pedido-de-demissao-precisa-fazer-exame-demissional/
646,ppra o que significa,390,15,1,31,http://sso.com.br/2024/11/29/ppra-e-pcmso/
647,serviços de saude ocupacional,1000,14,1,30,http://sso.com.br/
648,exame vhs valor,170,13,1,12,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
649,sampre medicina do trabalho,260,14,1,13,http://sso.com.br/
650,atestado de admissão,170,14,1,14,http://sso.com.br/
651,o'que é teste de aptidão física,140,19,1,22,http://sso.com.br/artigos/como-conseguir-um-atestado-de-aptidao-fisica
652,como é o exame demissional,170,19,1,13,http://sso.com.br/2024/07/31/pedido-de-demissao-precisa-fazer-exame-demissional/
653,atestado pode ser descontado nas férias,480,13,1,25,http://sso.com.br/2023/07/06/atestado-medico-pode-descontar-ferias/
654,segurança e saúde ocupacional,1600,22,1,14,http://sso.com.br/2024/03/01/saude-ocupacional/
655,o'que significa periculoso,210,21,1,17,http://sso.com.br/2023/02/23/como-calcular-periculosidade/
656,o'que e demissional,390,18,1,14,http://sso.com.br/2025/01/10/exame-admissional-vale-como-demissional/
657,o que é absenteísmo no trabalho,720,21,1,37,http://sso.com.br/2025/09/17/o-que-e-absenteismo-no-trabalho/
658,exame periódico trabalho,720,14,1,17,http://sso.com.br/2025/01/17/quais-sao-os-exames-periodicos/
659,o'que é pgr e pcmso,480,16,1,18,http://sso.com.br/2025/11/17/pgr-e-pcmso/
660,exame vhs o que significa,480,13,1,14,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
661,atestado medico para academia,320,14,1,16,http://sso.com.br/2024/04/19/como-conseguir-um-atestado-de-aptidao-fisica/
662,vaga intermitente significado,210,14,1,23,http://sso.com.br/2023/02/08/trabalho-intermitente/
663,exame acuidade,210,10,1,9,http://sso.com.br/2022/05/06/teste-de-acuidade-visual/
664,nr 05.gov,140,14,1,52,http://sso.com.br/2023/01/12/nova-nr-5/
665,qual a norma regulamentadora da cipa,170,16,1,18,http://sso.com.br/2025/02/17/nr-05/
666,controle de epi,320,16,1,13,http://sso.com.br/2025/06/30/controle-de-epi/
667,normal saturação,210,13,1,16,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
668,férias e atestado médico,170,12,1,18,http://sso.com.br/2023/07/06/atestado-medico-pode-descontar-ferias/
669,para que serve ecg,1600,24,1,29,http://sso.com.br/2025/01/24/como-e-feito-o-eletrocardiograma/
670,quando a saturação está baixa,880,7,1,14,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
671,clínica exame demissional,590,6,1,8,http://sso.com.br/
672,exame de hemossedimentação,590,17,1,13,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
673,doenças causadas por movimentos repetitivos no trabalho,480,10,1,14,http://sso.com.br/2024/09/19/doencas-causadas-por-movimentos-repetitivos-no-trabalho/
674,exames periodicos de trabalho,480,14,1,19,http://sso.com.br/2025/01/17/quais-sao-os-exames-periodicos/
675,norma regulamentadora para empilhadeiras,170,13,1,12,http://sso.com.br/nr/nr-11
676,o que significa vaga para pcd,170,17,1,17,http://sso.com.br/2022/02/08/pcd-quem-se-enquadra/
677,o'que é nr 5,170,19,1,14,http://sso.com.br/artigos/nova-nr-5
678,o que são exames periódicos,140,20,1,18,http://sso.com.br/2025/01/17/quais-sao-os-exames-periodicos/
679,riscos químicos exemplos,390,18,1,18,http://sso.com.br/2022/02/11/riscos-quimicos/
680,risco quimico exemplos,390,18,1,21,http://sso.com.br/2022/02/11/riscos-quimicos/
681,cálculo vhs pela idade,260,21,1,14,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
682,o que significa exames periódicos,590,18,1,18,http://sso.com.br/2025/01/17/quais-sao-os-exames-periodicos/
683,medidas de proteção,480,19,1,30,http://sso.com.br/2024/04/26/medidas-de-seguranca-no-trabalho/
684,perdi meu bebê posso ser demitida,170,13,1,21,http://sso.com.br/2023/12/14/voltei-da-licenca-maternidade-posso-ser-demitida/
685,posso trabalhar de atestado,480,10,1,17,http://sso.com.br/2023/06/22/trabalhar-de-atestado/
686,saúde ocupacional o'que e,390,16,1,34,http://sso.com.br/2024/03/01/saude-ocupacional/
687,como funciona o exame admissional,480,12,1,13,http://sso.com.br/2022/05/13/o-que-reprova-no-exame-admissional/
688,tipo de ruido,320,16,1,26,http://sso.com.br/2022/11/03/tipos-de-ruido-ambiental/
689,36 é febre em adulto,170,19,1,15,http://sso.com.br/2025/03/31/quando-e-estado-febril/
690,o que é um trabalho intermitente,170,18,1,39,http://sso.com.br/artigos/trabalho-intermitente
691,o que é teste de aptidão fisica,140,14,1,20,http://sso.com.br/artigos/como-conseguir-um-atestado-de-aptidao-fisica
692,oq é aso admissional,320,21,1,15,http://sso.com.br/2023/09/11/aso-admissional/
693,exame admissional de sangue,390,12,1,8,http://sso.com.br/2024/06/26/exame-admissional-tem-que-estar-em-jejum/
694,exame saude ocupacional,390,13,1,14,http://sso.com.br/
695,atestado nas férias,320,16,1,18,http://sso.com.br/2023/07/06/atestado-medico-pode-descontar-ferias/
696,exame sangue vhs,320,14,1,14,http://sso.com.br/2023/07/20/exame-vhs-para-que-serve/
697,exames de saude ocupacional,320,23,1,15,http://sso.com.br/
698,laudo ergonomico,720,11,1,12,http://sso.com.br/2022/06/13/laudo-ergonomico/
699,porque a saturação cai,260,12,1,15,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
700,nr 05 enit,170,14,1,42,http://sso.com.br/2025/02/17/nr-05/
701,laudo nr 13,210,10,1,9,http://sso.com.br/2023/09/14/laudo-nr13/
702,nr 15 o que é,1000,14,1,48,http://sso.com.br/2025/03/14/o-que-e-nr-15/
703,intermitentes,49500,61,1,19,http://sso.com.br/2023/02/08/trabalho-intermitente/
704,pgr pcmso,590,15,1,12,http://sso.com.br/2025/11/17/pgr-e-pcmso/
705,valor normal da saturação,480,15,1,17,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
706,o'que é saturação do corpo,390,14,1,18,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
707,o que exame psicotécnico,390,20,1,34,http://sso.com.br/2022/02/18/como-e-feito-o-exame-psicotecnico/
708,crea o que significa,390,17,1,32,http://sso.com.br/2025/07/28/registro-no-crea/
709,ruído intermitente,260,12,1,12,http://sso.com.br/2023/01/24/ruido-ocupacional/
710,onde fazer exame demissional,590,17,1,7,http://sso.com.br/
711,demissional é obrigatorio,210,13,1,13,http://sso.com.br/2023/05/18/exame-demissional-justa-causa/
712,para que serve os equipamentos de proteção individual,140,14,1,35,http://sso.com.br/artigos/importancia-do-uso-de-epi
713,o que é considerado trabalho em altura,140,19,1,14,http://sso.com.br/2024/12/09/riscos-trabalho-em-altura/
714,crea para que serve,390,11,1,31,http://sso.com.br/2025/08/05/o-que-e-art-crea/
715,exames trabalhistas,260,17,1,25,http://sso.com.br/
716,a empresa pediu meus documentos e não me contratou,590,20,1,21,http://sso.com.br/2024/04/08/a-empresa-pode-desistir-de-contratar-apos-exame-admissional/
717,consultar crea pelo nome,590,19,1,33,http://sso.com.br/2025/08/31/como-saber-se-o-profissional-tem-registro-no-crea/
718,o que é saturação de oxigênio,390,12,1,20,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
719,máquinas e equipamentos nr,390,19,1,35,http://sso.com.br/2024/02/02/nr-12-seguranca-trabalho-maquinas-equipamentos/
720,exerço a função,390,16,1,18,http://sso.com.br/2022/08/05/mudanca-de-funcao/
721,exame demissional o que e,1900,26,1,13,http://sso.com.br/2021/12/07/exame-demissional/
722,como é feito um eletrocardiograma,880,14,1,34,http://sso.com.br/2025/01/24/como-e-feito-o-eletrocardiograma/
723,atestado é descontado nas férias,210,13,1,22,http://sso.com.br/artigos/atestado-medico-pode-descontar-ferias
724,o que significa ocupacional,140,14,1,31,http://sso.com.br/2024/03/01/saude-ocupacional/
725,multas ministério do trabalho,170,18,1,18,http://sso.com.br/2024/05/21/multa-ministerio-do-trabalho/
726,saturação oxigênio normal,140,18,1,18,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
727,preparo para eletrocardiograma,720,21,1,23,http://sso.com.br/2025/01/24/como-e-feito-o-eletrocardiograma/
728,ler lesão,320,21,1,21,http://sso.com.br/2024/09/11/lesao-por-esforco-repetitivo/
729,39 é febre alta,170,16,1,24,http://sso.com.br/2025/03/31/quando-e-estado-febril/
730,atestado durante as férias,210,20,1,15,http://sso.com.br/2023/07/06/atestado-medico-pode-descontar-ferias/
731,osteomuscular significado,170,19,1,34,http://sso.com.br/artigos/disturbios-osteomusculares-relacionados-ao-trabalho
732,perfil exames para motoristas,170,20,1,8,http://sso.com.br/artigos/exame-admissional-para-motorista
733,teste de aptidão fisica e mental,140,9,1,13,http://sso.com.br/artigos/como-conseguir-um-atestado-de-aptidao-fisica
734,saturação 72,140,13,1,18,http://sso.com.br/artigos/saturacao-de-oxigenio
735,testes psicologicos para emprego,590,20,1,16,http://sso.com.br/2022/02/01/testes-psicologicos-para-emprego/
736,atestado de aptidão física sus,590,5,1,14,http://sso.com.br/2024/04/19/como-conseguir-um-atestado-de-aptidao-fisica/
737,o que é pgr e pcmso,480,13,1,12,http://sso.com.br/2025/11/17/pgr-e-pcmso/
738,gso medicina ocupacional,390,18,1,16,http://sso.com.br/
739,termo de ajustamento de conduta tac,880,16,1,17,http://sso.com.br/2024/05/17/termo-de-ajustamento-de-conduta/
740,o que é saturação de oxigenio,390,12,1,25,http://sso.com.br/2025/03/21/saturacao-de-oxigenio/
741,exame de sangue admissional,390,12,1,8,http://sso.com.br/2024/06/26/exame-admissional-tem-que-estar-em-jejum/
742,nr5 o que é,1000,20,1,16,http://sso.com.br/2023/01/12/nova-nr-5/
743,o que é exame psicológico,210,12,1,37,http://sso.com.br/2022/02/01/testes-psicologicos-para-emprego/
744,clinica que faz exame admissional perto de mim,210,6,1,11,http://sso.com.br/
745,pode emendar atestado médico com férias,170,14,1,19,http://sso.com.br/artigos/atestado-medico-pode-descontar-ferias
746,o que e higiene do trabalho,140,11,1,21,http://sso.com.br/artigos/higiene-ocupacional
747,o'que é ocupacional,170,11,1,34,http://sso.com.br/artigos/saude-ocupacional
